advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29929374,15,162,2014,1.248,17203,1,2,RED,2,56.5,2,5,5,84,107,12.6,114,534,7995,inactive on: 18/09/2023
29929375,8,58,2019,1.991,13541,1,3,WHITE,5,38.7,3,4,5,211,138,7.3,175,562,38471,
29929378,8,21,2020,2.999,18955,1,3,RED,5,32.1,3,2,4,429,155,4.4,211,466,49481,
29929386,15,162,2013,1.248,18013,1,2,SILVER,2,55.4,2,3,5,84,106,12.6,119,524,6999,inactive on: 13/09/2023
29929390,17,31,2016,1.499,49999,2,2,RED,2,78.5,2,5,5,74,104,13.5,94,699,8221,
29929396,4,138,2020,1.999,27141,2,3,BLACK,6,39.8,3,5,5,177,125,9.4,187,569,37991,
29929398,4,19,2018,2.993,57275,2,3,BLACK,6,32.1,3,5,5,302,140,6.8,198,607,41991,
29929404,4,33,2017,2.995,41192,1,3,RED,6,30.1,3,5,5,375,155,5.3,214,417,38180,
29929405,9,264,2005,2.488,64000,2,2,SILVER,8,33.2,3,4,5,174,105,11.4,0,584,7495,
29929412,4,32,2021,2.997,8482,2,3,GREEN,6,32.8,3,3,5,296,119,6.3,240,613,78991,
29929427,11,37,2018,1.498,88500,1,2,SILVER,2,55.4,2,5,5,148,136,8.2,117,609,12495,
29929430,4,19,2017,2.993,99000,2,3,BLACK,6,40.4,3,5,5,302,130,6.8,185,791,32995,
29929432,11,74,2018,1.984,110800,1,3,SILVER,1,52.3,2,4,5,187,149,7.0,122,621,13495,
29929434,11,74,2018,1.984,91700,1,3,SILVER,1,52.3,2,4,5,187,149,7.0,122,621,14599,
29929450,8,58,2017,2.143,32000,2,3,BLACK,6,56.5,3,5,5,168,130,8.3,129,621,23995,
29929451,4,4,2021,2.997,74000,2,3,BLACK,8,31.7,3,5,2,295,130,6.5,232,621,47994,
29929465,11,37,2017,1.598,92000,2,2,WHITE,1,68.9,2,4,5,114,127,10.4,107,758,10495,inactive on: 10/09/2023
29929486,9,264,2018,2.298,102000,2,2,WHITE,8,44.8,3,4,5,158,107,12.0,167,719,15300,inactive on: 10/09/2023
29929491,9,50,2010,1.24,105000,1,2,Silver,2,47.9,2,3,5,79,104,13.5,139,485,1995,
29929521,31,191,2010,1.498,30214,1,2,RED,2,49.6,2,5,5,102,117,10.4,135,467,5966,
29929522,17,31,2015,1.499,92078,2,2,SILVER,2,78.5,2,5,5,74,104,13.5,94,691,5966,
29929523,1,77,2003,2.926,159014,2,3,SILVER,6,29.1,3,5,5,184,124,10.5,259,595,3988,
29929525,6,215,2011,1.396,41501,1,2,BLUE,9,50.4,2,5,5,89,104,12.9,130,532,5966,
29929527,9,169,2010,1.598,51230,1,3,RED,9,41.5,2,5,5,109,108,11.7,159,420,6688,
29929530,11,74,2011,1.984,33971,1,3,WHITE,6,36.2,3,5,5,208,147,6.6,179,486,16455,
29929534,42,282,2008,1.15,41711,1,2,RED,2,44.1,2,3,5,71,98,13.7,153,437,2455,
29929536,11,23,2016,1.968,83016,2,2,BLUE,6,49.6,3,5,5,181,136,7.9,146,698,15566,
29929539,1,22,2013,1.598,61231,1,2,WHITE,2,52.3,1,5,5,136,130,8.5,125,598,8966,
29929542,28,137,2014,2.179,80552,2,3,GOLD,1,52.0,1,4,5,197,140,8.0,139,802,10866,
29929546,25,216,2015,1.56,75492,2,2,BLACK,9,74.3,2,5,5,118,117,11.3,100,899,7490,
29929547,25,76,2016,0.998,34586,1,2,WHITE,2,68.9,2,3,4,67,99,14.3,95,530,6966,
29929556,1,22,2014,1.995,61790,2,2,BLACK,2,64.2,1,5,5,143,132,8.9,115,734,9655,
29929563,10,273,2014,1.364,50411,1,2,RED,2,47.9,2,3,5,118,119,10.2,139,590,6490,
